Landing - Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_date_time,monitor,vessel,fishing_effort,days_per_trip,location,area,area_2,area_3,gear_method,gear_count,net_pieces_per_unit,total_length,net_height,mesh_size,soak_time,water_depth,bait_fish_species_1,bait_fish_species_2,bait_fish_species_3,bait_fish_weight,personal_use_weight,ice_weight,weight,pieces,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id
8/21/2019 13:00,Victor Monitor,MS - Ari,1,1,Margasari,192,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,1,,,9/2/2019 14:20,Victor Monitor,9/8/2019 10:40,Victor Monitor,9/11/2019 17:23,FALSE,,,,d3638506-b228-464a-92ca-4a4a5817aa2b
8/21/2019 13:00,Victor Monitor,MS - Yusuf,1,1,Margasari,192,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,1.2,,,9/2/2019 14:18,Victor Monitor,9/2/2019 14:18,Victor Monitor,9/11/2019 17:23,FALSE,,,,9421cf90-6c26-47e9-b7a3-5254451af8b4
8/20/2019 13:00,Victor Monitor,Unknown / Not listed,1,1,Margasari,182,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,0.8,,nama kapal : suyi,9/8/2019 11:39,Victor Monitor,9/8/2019 11:39,Victor Monitor,9/11/2019 17:24,FALSE,,,,0bf5e36c-f479-4445-9714-434d6ac93127
8/20/2019 13:00,Victor Monitor,MS - Madi,1,1,Margasari,182,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,1,,,9/8/2019 11:38,Victor Monitor,9/8/2019 11:38,Victor Monitor,9/11/2019 17:24,FALSE,,,,f6613f05-eabf-4749-881c-c99bdfac2fa0
8/20/2019 13:00,Victor Monitor,MS - Ade,1,1,Margasari,192,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,2.1,,,9/8/2019 11:37,Victor Monitor,9/8/2019 11:37,Victor Monitor,9/11/2019 17:24,FALSE,,,,188fef24-3517-470e-9c04-42db90494a24
8/19/2019 13:00,Yadi Monitor,MGM - U,1,1,MGM,183,,,Gill Net,1kambangan,13,2600,1,3.5,12,7,,,,,,,1,,,8/30/2019 11:50,Yadi Monitor,8/30/2019 11:51,Yadi Monitor,9/11/2019 17:23,FALSE,,,,d84ab84a-1437-4f97-abd1-e23956801703
8/19/2019 13:00,Arbi Monitor,MGM - D1,1,1,MGM,184,,,Gill Net,1,15,3000,1,"3,5",12,7,,,,,,,0.8,4,,8/30/2019 11:26,Arbi Monitor,8/30/2019 11:28,Arbi Monitor,9/11/2019 17:23,FALSE,,,,c1632baf-8684-43dc-9bee-abf63222148e
8/15/2019 13:00,Victor Monitor,Unknown / Not listed,1,1,Margasari,192,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,1.7,,nama kapal : suyi,9/8/2019 11:31,Victor Monitor,9/8/2019 11:32,Victor Monitor,9/11/2019 17:24,FALSE,,,,ecf28e23-2ac5-4afa-9779-b79c33a28a99
8/15/2019 13:00,Yadi Monitor,MGM - C,1,1,MGM,195,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,3.2,,,8/30/2019 11:36,Yadi Monitor,8/30/2019 11:36,Yadi Monitor,9/11/2019 17:23,FALSE,,,,15c91bd8-383b-4983-af6e-0da829e5f39f
8/15/2019 13:00,Victor Monitor,MS - Damin,1,1,Margasari,170,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,4,,,9/8/2019 11:34,Victor Monitor,9/8/2019 11:35,Victor Monitor,9/11/2019 17:24,FALSE,,,,bcd6f579-7293-4950-a786-cab06de68e8b
8/15/2019 13:00,Victor Monitor,MS - Ari,1,1,Margasari,182,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,2.1,,,9/8/2019 11:29,Victor Monitor,9/8/2019 11:30,Victor Monitor,9/11/2019 17:24,FALSE,,,,d330a684-ea4e-457b-a919-6ef225bf2f68
8/15/2019 13:00,Victor Monitor,MS - Arianto,1,1,Margasari,192,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,1.7,,,9/8/2019 11:30,Victor Monitor,9/8/2019 11:31,Victor Monitor,9/11/2019 17:24,FALSE,,,,3d066d15-9b9e-4e18-88e5-f47095ca39b0
8/15/2019 13:00,Yadi Monitor,MGM - J,1,1,MGM,183,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,3,,,8/30/2019 11:34,Yadi Monitor,8/30/2019 11:35,Yadi Monitor,9/11/2019 17:23,FALSE,,,,2df993fc-e25e-42bd-a915-4c727bff32a7
8/15/2019 13:00,Arbi Monitor,MGM - U,1,1,MGM,184,,,Gill Net,1,13,2600,1,"3,5",12,7,,,,,,,1.2,1,,8/30/2019 11:16,Arbi Monitor,8/30/2019 11:17,Arbi Monitor,9/11/2019 17:23,FALSE,,,,9f4d5eef-b5d8-48de-9f86-9b431a54ce96
8/15/2019 13:00,Yadi Monitor,Unknown / Not listed,1,1,MGM,184,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,1.8,3,"nama kapal Y
nama pemilik Ato",8/30/2019 11:32,Yadi Monitor,8/30/2019 11:34,Yadi Monitor,9/11/2019 17:23,FALSE,,,,388249a8-08bf-4676-9b38-f6bc32606e06
8/15/2019 13:00,Victor Monitor,Unknown / Not listed,1,1,Margasari,192,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,2,,nama kapal : andika,9/8/2019 11:33,Victor Monitor,9/8/2019 11:34,Victor Monitor,9/11/2019 17:24,FALSE,,,,cad3e559-52dd-4764-a152-d712d3e866c3
8/15/2019 13:00,Arbi Monitor,MGM - O,1,1,MGM,196,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,2,8,,8/30/2019 11:19,Arbi Monitor,8/30/2019 11:19,Arbi Monitor,9/11/2019 17:23,FALSE,,,,ec5e2f4a-0c4d-4923-b2e5-8b324b6599ad
8/14/2019 13:00,Arbi Monitor,MGM - C,1,1,MGM,208,,,Gill Net,1,10,2000,1,"3,5",12,7,,,,,,,3.2,9,,8/30/2019 11:00,Arbi Monitor,8/30/2019 11:00,Arbi Monitor,9/11/2019 17:23,FALSE,,,,ade75119-57c9-47d3-85f6-5207f846fd17
8/14/2019 13:00,Victor Monitor,MS - Yusuf,1,1,Margasari,192,,,Gill Net,3,15,2500,1,3.5,8,12,,,,,,,7,,,9/2/2019 14:17,Victor Monitor,9/2/2019 14:17,Victor Monitor,9/11/2019 17:23,FALSE,,,,20c9b333-098a-4e12-87c6-a505bf59d087
8/14/2019 13:00,Yadi Monitor,Unknown / Not listed,1,1,MGM,207,,,Gill Net,1kambangan,10,2000,1,3.5,12,7,,,,,,,3.5,1,"nama kapal Y
pemilik Ato",8/30/2019 11:19,Yadi Monitor,8/30/2019 11:21,Yadi Monitor,9/11/2019 17:23,FALSE,,,,6a84e22c-6066-4f66-bc6b-fac39bb9314f
8/14/2019 13:00,Yadi Monitor,MGM - J,1,1,MGM,207,,,Gill Net,1kambangan,15,3000,1,3.5,12,7,,,,,,,2,3,,8/30/2019 11:17,Yadi Monitor,8/30/2019 11:17,Yadi Monitor,9/11/2019 17:23,FALSE,,,,40e5efb3-7f15-4e62-9c95-db2c73fe5c0c
