Biology Sample - Details,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
sample_date_time,monitor,vessel,location,first_receiver,species,scientific_name,code,berried_type,carapace_width,gonad_maturity_type,sex_type,weight,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id,measurement_id
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"10,6",Mature,Female,74,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,1ac77a72-2dda-4fca-acf8-1eeec4ec24fe
9/12/2019 13:00,Yadi Monitor,MGM - C,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,10,Not applicable,Male,61,,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:27,FALSE,,,,534026d1-6493-4c96-840d-947c3e5151c0,6f9666d2-77dc-415a-a760-05723955967c
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,10.5,Not applicable,Male,66,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,a24ce66d-6074-4fc3-bdca-d40bce269370
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,9,Did not look,Female,48,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,a297c052-8f54-4c02-978f-991cadcfd360
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,14,Not applicable,Male,228,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,9700d76e-5e4b-4b04-b749-e4aeb6e4cc4b
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"12,9",Not applicable,Male,181,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,330f53f0-b68f-4d2d-a33c-06187097b76d
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,10,Not applicable,Male,56,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,37bdb94e-bf4b-4ffd-af57-17dd36e8c9c0
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,13.2,Not applicable,Male,150,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,0f4a338b-02b1-427b-9473-6f9c6b291132
9/12/2019 13:00,Yadi Monitor,MGM - C,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Yes,11.6,Mature,Female,118,,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:27,FALSE,,,,534026d1-6493-4c96-840d-947c3e5151c0,635fe60e-28d8-4c1e-9d8a-946d46e8b8cc
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"12,5",Not applicable,Male,153,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,e3d94482-3fef-4a33-bd14-d1c617f2c6d8
